Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Limited Live Performance,"Allows you to host entertainment performances in establishments whose primary use is not entertainment. Eg. A restaurant with a piano player, or a café that hosts live poetry or music.",,,"The purpose of a Limited Live Performance permit (LLP) is to permit live performances 
in establishments whose primary use is not entertainment. A LLP may be the appropriate permit for your venue if it meets all of the following 
conditions: 

1. the primary use of your establishment is not entertainment, 
2. performances will end by 10:00 p.m., and
3 . the area of the space occupied by performers is less than 200 square feet. 
 
If your proposed use does not meet those conditions, a fixed Place of Entertainment 
permit, or a One Time Event permit may be the appropriate permit for you, subject to 
zoning law",Bar*Restaurant*Cafe or Deli,Acoustic,SF Entertainment Commission,City,"Application Fee: $416
License Fee: $165
Ammendment Fee: $139

",,, Limited Live Performance (LLP) Permit (Fillable SmartPDF),https://open311.sfgov.org/smartpdf/download.php?fileid=LSxKUfvoW025MYCo4EXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itinerant Show Permit,"This is the standard Entertainment Commisiion Place of Entertainment Permit Application. Allows you to operate as a retailer with devices, but without a permanent place of business.",Entertainment Commission Permit Application Page,http://www.sfgov2.org/index.aspx?page=3976,,Event & Wedding Planning,,SF Entertainment Commission,City,"Application Fee: $914
License Fee: $65/concession per day


",,,,,Itinerant Show Permit,http://www.sfgov2.org/ftp/uploadedfiles/entertainment/documents/permits/ItinerantShowPermitPackage.pdf,Itinerant Show Information Form,http://www.sfgov2.org/ftp/uploadedfiles/entertainment/documents/ItinerantShowInformationForm.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplified Sound Permit (Outdoor Loudspeaker or Sound Truck),"Allows you to use outdoor amplified sound, from a sound truck or stationary loudspeaker.",How to Apply for a Loudspeaker/Sound Truck Permit,http://www.sfgov2.org/index.aspx?page=351,You will need a loudspeaker permit if you are having any type of music or speech that is amplified.,Event & Wedding Planning,,SF Entertainment Commission,City,"Application Fee: $511
License Fee: $178",,,Entertainment Commission Amplified Sound Permit Application (Fillable SmartPDF),https://sf.pdfescape.com/?00000BB603OKJKX4M1M7Z2NFDIYEQ936Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Night Dance Permit,"Allows certain community centers, without Place of Entertainment permits, the ability to hold one night dance events.",Entertainment Commission Permit Application Page,http://www.sfgov2.org/index.aspx?page=3976,,Event & Wedding Planning,,SF Entertainment Commission,City,Application Fee: $54,,,One Night Dance Application (Fillable SmartPDF),https://sf.pdfescape.com/?00000AFF8WSQOWTMDMWX5ADO18CIJ5W92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Night Event Permit," Ensures that the place where you will be holding a one-night event conforms to all health, safety, fire, and zoning ordinances.",How to Apply for a One Night Event Permit FAQ,http://www.sfgov2.org/index.aspx?page=352,"San Francisco law requires that the place where you plan to hold a One Night Event must conform to all health, safety, zoning and fire ordinances of the City and County of San Francisco. The information and questions on this sheet and the permit application will help you to determine what steps are necessary to obtain a One Night Event Permit from the Entertainment Commission. In some cases, you must provide the Building Department, Fire Department and Health Department with certain information prior to their on-site inspections of the place where plan to hold the event. Applicants for a One Night Event Permit should contact the Building Department, Fire Department and the Health Department at least two weeks before the event. This will allow time to correct any potentially hazardous conditions identified during an inspection so that you can obtain your permit and have a safe and successful event.",Event & Wedding Planning,,SF Entertainment Commission,City,Application Fee: $318,,,One Night Event Application (Fillable SmartPDF),https://sf.pdfescape.com/?00000B03IHXZUIS4LN2454VXO0P65DTK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billiard & Pool Tables Permit,Allows you to provide billiard/pool tables for use by the public.,,,Please print and complete the Permit Application and Letter of Intent and return to the Entertainment Commission for further instruction.,Bar*Bowling Alley*Nightclubs,,SF Entertainment Commission,City,"First Table
Application Fee: $612
License Fee: $168

Additional Tables
License Fee: $15",,,,,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masked Balls Permit,"Allows a venue or organization to hold an event known as a bal masqué or masked ball, or by any other name where the persons attending thereat appear in fancy dress, or represent any character or personage with masks, whether or not an admission fee is charged.",,,Please print and complete the Permit Application and Letter of Intent and return to the Entertainment Commission for further instruction.,Event & Wedding Planning,,SF Entertainment Commission,City,"Application Fee: $1,047
License Fee: $265/day",,,,,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanical Amusement Device Permit,"Allows you to provide machines or devices which, upon the insertion of a coin, slug or token, operates or which may be operated for use as a game, contest or amusement. Eg. Pinball machine.",,,Please print and complete the Permit Application and Letter of Intent and return to the Entertainment Commission for further instruction.,Event & Wedding Planning,Arcade game*video game*skeeball*air hockey,SF Entertainment Commission,City,"Application Fee: $763
License Fee: $316",,,,,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanical Contrivances Permit,"Allows you to provide any revolving wheel, chute, toboggan slide, merry-go-round, swing or other mechanical contrivance for use by the public",,,Please print and complete the Permit Application and Letter of Intent and return to the Entertainment Commission for further instruction.,Event & Wedding Planning,,SF Entertainment Commission,City,Application Fee: $763,,,,,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodeo Exhibition and Show Permit,Allows you to hold a rodeo exhibition or show.,,,Please print and complete the Permit Application and Letter of Intent and return to the Entertainment Commission for further instruction.,Event & Wedding Planning,,SF Entertainment Commission,City,Application Fee: $875,,,,,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hot Work Operations Permit, Roofer","Provides a detailed description of ""Fire Safety Rules and Practices for Roofing Operations"" and includes the Required Statement of Understanding for Hot Work - Roofer Permit Holders.",,,"Annual operational permits for Hot Work – Roofing Operations and LP-Gas (use or storage) may be obtained by California licensed C-39 contractors with a current San Francisco Business License. Prior to issuance of a permit to conduct Hot Work Operations in roofing, the licensed contractor shall successfully convince the SFFD Permits Inspector that he or she is thoroughly familiar with the contents of this administrative bulletin and the provisions of the California Fire Code applicable to this activity by successfully answering a series of verbal questions. The applicant shall provide a copy of their pre-hot-work-checklist which must be approved by the Permits Inspector (See the Fire Code for recommended checklist items). In addition, the applicant shall sign the written statement contained in this bulletin certifying that they understand their responsibilities as the permit holder. ",General Building Contractor*Specialty Contractor,,SF Fire Department,City,$330,,,,,Fire Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,Required Statement of Understanding for Hot Work - Roofer Permit Holders,http://www.sf-fire.org/Modules/ShowDocument.aspx?documentid=1936,Fire Safety Rules and Practices for Roofing Operations,http://38.106.4.187/Modules/ShowDocument.aspx?documentid=2102,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hot Work Operations Permit, Welder",SFFD Permit to operate in Hot Work. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",General Building Contractor*Specialty Contractor,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hot Work Operations Permit, Jeweler",SFFD Permit to operate in Hot Work. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Jewelry Manufacturing,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aerosol Products Permit, Manufacture, Store, Handle",SFFD Permit to operate in Aerosole Products. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft Repair, Servicing Permit",SFFD Permit to operate in Aircraft Repair. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Refueling Permit,SFFD Permit to operate in Aircraft Refueling. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amusement Buildings Permit,SFFD Permit for Amusement Buildings. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery System Permit,SFFD Permit to operate in Battery Systems. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carnivals and Fairs Permit, Operation",SFFD Permit to operate Carnivals and Fairs. Must visit the Fire Department to learn more.,,,"1) Print and complete the San Francisco Fire Department Permit Application. 2) Bring the completed form to the Bureau of Fire Prevention at 698 2nd Street, Room 109, San Francisco, CA 94107 for additional instruction.",Event & Wedding Planning,,SF Fire Department,City,$330,,,,,San Francisco Fire Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-form-rev-052212.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
